"Age","Sex","Education","Veg","Fruit","Year","BMI"
29,"Female","Higher grade or equiv","Yes","Yes","2012",28.7650511429807
31,"Male","Standard grade or equiv","No","Yes","2012",24.4894071976182
73,"Male","Higher grade or equiv","No","Yes","2012",29.5245560138036
74,"Female","Other school level","Yes","Yes","2012",41.0130296748482
67,"Male","Standard grade or equiv","Yes","Yes","2012",36.3541004579329
62,"Male","Degree or higher","Yes","Yes","2012",31.8213087189274
59,"Female","Standard grade or equiv","Yes","Yes","2012",31.8548424349369
75,"Female","No qualifications","Yes","No","2012",24.9414951329556
67,"Male","Higher grade or equiv","Yes","Yes","2012",21.2623219280539
48,"Male","Higher grade or equiv","Yes","Yes","2012",31.1319269973544
43,"Female","Higher grade or equiv","Yes","Yes","2012",30.6455284391918
54,"Male","No qualifications","Yes","Yes","2012",25.1208729265068
55,"Female","Other school level","Yes","Yes","2012",31.580261602074
56,"Male","Other school level","Yes","No","2012",31.2400727089625
77,"Male","No qualifications","No","No","2012",21.732699865378
70,"Female","Other school level","No","Yes","2012",21.7851729608153
43,"Female","Standard grade or equiv","Yes","Yes","2012",24.6457084617438
21,"Male","Higher grade or equiv","Yes","No","2012",27.2737087759221
48,"Female","Degree or higher","Yes","Yes","2012",24.1400514444069
47,"Male","Degree or higher","Yes","No","2012",29.5330998606801
35,"Female","HNC/D or equiv","Yes","Yes","2012",26.870193691076
24,"Female","Standard grade or equiv","No","No","2012",26.3029460820013
40,"Female","Degree or higher","Yes","Yes","2012",20.5176503328562
39,"Male","Degree or higher","Yes","Yes","2012",26.4006175476969
59,"Female","Degree or higher","Yes","No","2012",22.3568594104308
61,"Male","Degree or higher","Yes","Yes","2012",23.0159849727892
63,"Female","HNC/D or equiv","Yes","Yes","2012",27.2505311893112
67,"Male","Degree or higher","Yes","Yes","2012",29.3762009782514
60,"Female","Degree or higher","Yes","Yes","2012",23.0354746309316
61,"Male","Degree or higher","Yes","Yes","2012",27.4599452566377
38,"Female","Higher grade or equiv","Yes","Yes","2012",25.917602142343
40,"Male","Standard grade or equiv","No","No","2012",24.4382747933884
17,"Male","Higher grade or equiv","Yes","Yes","2012",19.7801159646202
68,"Female","Standard grade or equiv","Yes","Yes","2012",27.3072629287843
71,"Male","No qualifications","Yes","Yes","2012",31.1160614836266
68,"Female","Degree or higher","Yes","No","2012",29.868578255675
73,"Male","Degree or higher","Yes","No","2012",31.0760439828048
38,"Female","Standard grade or equiv","No","No","2012",23.1776231036537
67,"Female","Higher grade or equiv","Yes","Yes","2012",21.9735276621059
58,"Male","Higher grade or equiv","Yes","Yes","2012",33.5041448747209
48,"Female","No qualifications","Yes","No","2012",31.1656964668647
40,"Male","Standard grade or equiv","No","Yes","2012",25.3891593931427
32,"Female","Higher grade or equiv","Yes","Yes","2012",23.3576877131983
58,"Male","Degree or higher","Yes","Yes","2012",33.0877037044922
81,"Female","Degree or higher","Yes","Yes","2012",17.7751498969891
81,"Male","Degree or higher","Yes","Yes","2012",22.3418854175862
35,"Female","Degree or higher","Yes","No","2012",28.8052721088435
58,"Female","Degree or higher","Yes","Yes","2012",26.4713566933188
41,"Female","Degree or higher","Yes","Yes","2012",30.0109104063105
41,"Male","Degree or higher","Yes","Yes","2012",33.0038653518383
61,"Female","No qualifications","Yes","Yes","2012",24.8967829095225
31,"Female","Standard grade or equiv","Yes","No","2012",18.7519464739761
68,"Male","HNC/D or equiv","Yes","No","2012",32.5833588086296
28,"Female","Degree or higher","Yes","Yes","2012",22.2864179982355
30,"Male","Higher grade or equiv","Yes","Yes","2012",32.1385742478629
